PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40673053,Anti-SARS-CoV-2 Antibody Levels in a Cohort of Health Care Workers Before and After the Omicron Wave in Canada.,2025-Jun,Ann Jolly,"Ottawa Public Health, Ottawa.",
40672943,The quantity and quality of B-cell immunity against SARS-CoV-2 in children with cancer and hematological diseases.,2025,Renate Varnaite,"Mabtech AB, Nacka Strand, Sweden.",
40672927,"COVID-19 vaccination pharmacovigilance in Khojaly district, Uzbekistan: an epidemiological evaluation.",2025,"Yunis Tursinov, Roberta Horth, Botirjon Kurbonov, Alfiya Denebayeva, Dilyara Nabirova","Central Asia Field Epidemiology Training Program, Almaty, Kazakhstan., Central Asia Field Epidemiology Training Program, Almaty, Kazakhstan., Sanitary and Epidemiological Welfare and Public Health Service of the Republic of Uzbekistan, Tashkent, Uzbekistan., Central Asia Field Epidemiology Training Program, Almaty, Kazakhstan., Central Asia Field Epidemiology Training Program, Almaty, Kazakhstan.",
40672906,"Improving control of the Mpox outbreak: a national cross-sectional study on the knowledge, attitudes, and influencing factors among frontline healthcare professionals in Ethiopia.",2025,Jilcha Gugsa,"Oromia Physician Association, Addis Ababa, Ethiopia.",
40671971,Safety of COVID-19 Vaccines Among Pregnant Women in India: A Systematic Review and Meta-Analysis.,2025-Jun,Mogan Kaviprawin,"Department of Community Medicine, South Asia Field Epidemiology and Technology Network, Inc., Chennai, IND.",
40671410,"Correspondence on ""Evaluating University and Surrounding Area Factors Causing Variability in COVID-19 Vaccine Rates Among United States Universities"".",2025-Jul-17,Hinpetch Daungsupawong,"Private Academic Consultant, Phonhong, Laos.",
40671368,Research evidence for health education in patient safety and research-informed health policy decision-making.,2025-Jul-16,Liliya Eugenevna Ziganshina,"Russian Medical Academy for Continuing Professional Education (RMANPO), Moscow, Russian Federation.",
40670524,The impact of vaccine booster doses on specific B- and T-lymphocyte dynamics in Thai healthcare personnel following COVID-19 vaccination.,2025-Jul-16,"Chuleekorn Tanathitikorn, Somsak Punjasamanvong, Thanapat Wongrapee, Pornsak Yoocharoen, Suthat Chottanapund","Department of Disease Control, Ministry of Public Health, Nonthaburi, Thailand., Rayong Hospital, Rayong, Thailand., Phaholpolpayuhasena Hospital, Kanchanaburi, Thailand., Department of Disease Control, Ministry of Public Health, Nonthaburi, Thailand., Department of Disease Control, Ministry of Public Health, Nonthaburi, Thailand.",chaniya.lee@mahidol.edu.
40670372,Surveillance and follow up outcomes of myocarditis after mRNA COVID-19 vaccination in Australia.,2025-Jul-16,"Megan O'Moore, Abigail Cheung, Nicholas Cox, Carla Drake-Brockman, Nathan Dwyer, Paul Effler, Michael Gold, Andrew Kelly, Sarah Khanlari, Claire Larter, Shannon Melody, Michael Nissen, Rajesh Puranik, James Rankin, Sally Singleton, Sudhir Wahi, Gavin Wheaton, Clara K Chow","Therapeutic Goods Administration, Department of Health, Disability and Ageing, Canberra, ACT, Australia., Women's and Children's Health Network, Adelaide, South Australia, Australia., Western Health, Victoria, Australia., Perth Children's Hospital, Nedlands, Western Australia, Australia., Royal Hobart Hospital, Hobart, Tasmania, Australia., Western Australia Department of Health, Perth, Western Australia, Australia., Women's and Children's Health Network, Adelaide, South Australia, Australia., Women's and Children's Health Network, Adelaide, South Australia, Australia., New South Wales Ministry of Health, St Leonards, NSW, Australia., Therapeutic Goods Administration, Department of Health, Disability and Ageing, Canberra, ACT, Australia., Public Health Services, Department of Health Tasmania, Hobart, Tasmania, Australia., Queensland Adult Specialist Immunisation Service, The Prince Charles Hospital, Chermside, Queensland, Australia., Royal Prince Alfred Hospital, Camperdown, NSW, Australia., Fiona Stanley Hospital, Murdoch, Western Australia, Australia., Australian Capital Territory Health Directorate, Canberra, ACT, Australia., Princess Alexandra Hospital, Brisbane, Queensland, Australia., Women's and Children's Health Network, Adelaide, South Australia, Australia., Westmead Hospital, Westmead, NSW, Australia.",lucy.deng@health.nsw.gov.au.
40670144,Evaluating the effect of the end of the COVID-19 uninsured programme on COVID-19 vaccine administration in California: a quasi-experimental study.,2025-Jul-16,"Celeste J Romano, Cora Hoover, Joshua J Quint","California Department of Public Health, Richmond, California, USA cjromano@ucla.edu., California Department of Public Health, Richmond, California, USA., California Department of Public Health, Richmond, California, USA.",cjromano@ucla.edu.
40669912,Sustained natural immunity following SARS-CoV-2 infection against severe COVID-19 outcomes and symptomatic reinfection: analyses of national data for Brazil and Scotland.,2025-Jul-16,"Tristan Millington, Chris Robertson","Public Health Scotland, Glasgow, UK., Public Health Scotland, Glasgow, UK.",aziz.sheikh@phc.ox.ac.uk.
40669717,Conspiratorial thinking in a 50-state survey of American adults.,2025-Jul-14,"Sergio A Barroilhet, Paul A Vohringer","Hospital Clinico, Facultad de Medicina, Universidad Chile, 8380494 Independencia, Santiago, Chile., Hospital Clinico, Facultad de Medicina, Universidad Chile, 8380494 Independencia, Santiago, Chile.",rperlis@mgh.harvard.edu.
