PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40671124,Martinostat as a novel HDAC inhibitor to overcome tyrosine kinase inhibitor resistance in chronic myeloid leukemia.,2025-Jul-16,"Christo Christov, Dag Erlend Olberg","Service d'Histologie, Faculté de Médicine, Université de Lorraine, INSERM U1256 NGERE, 54000, Nancy, France., Norsk Medisinsk Syklotronsenter AS, Postboks 4950, 0424, Nydalen, Oslo, Norway.",marcdiederich@snu.ac.kr.
40660195,Advancing prostate cancer research: an exploration of periprostatic adipose stem cells.,2025-Jul-14,"Paula Alejandra Sacca, Juan Carlos Calvo","Instituto de Biología y Medicina Experimental (IBYME), Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Vuelta de Obligado 2490, C1428ADN, Buenos Aires, Argentina. psacca@ibyme.conicet.gov.ar., Instituto de Biología y Medicina Experimental (IBYME), Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Vuelta de Obligado 2490, C1428ADN, Buenos Aires, Argentina.",psacca@ibyme.conicet.gov.ar.
40659448,T cell-specific non-viral DNA delivery and in vivo CAR-T generation using targeted lipid nanoparticles.,2025-Jul-13,"Jaime Fernández Bimbo, Eline van Diest, Daniel E Murphy, Ator Ashoti, Martijn J W Evers, Suneel A Narayanavari, Diana Pereira Vaz, Hanneke Rijssemus, Christina Zotou, Zhiyong Lei, Peter Mayrhofer, Maurits Geerlings, Raymond Schiffelers, Jacek Lubelski","R&D, NanoCell Therapeutics BV, Utrecht, Utrecht, Netherlands., R&D, NanoCell Therapeutics BV, Utrecht, Utrecht, Netherlands., R&D, NanoCell Therapeutics BV, Utrecht, Utrecht, Netherlands., R&D, NanoCell Therapeutics BV, Utrecht, Utrecht, Netherlands., R&D, NanoCell Therapeutics BV, Utrecht, Utrecht, Netherlands., R&D, NanoCell Therapeutics BV, Utrecht, Utrecht, Netherlands., R&D, NanoCell Therapeutics BV, Utrecht, Utrecht, Netherlands., R&D, NanoCell Therapeutics BV, Utrecht, Utrecht, Netherlands., R&D, NanoCell Therapeutics BV, Utrecht, Utrecht, Netherlands., R&D, NanoCell Therapeutics BV, Utrecht, Utrecht, Netherlands., R&D, NanoCell Therapeutics, Wayne, Pennsylvania, USA., R&D, NanoCell Therapeutics, Wayne, Pennsylvania, USA., R&D, NanoCell Therapeutics BV, Utrecht, Utrecht, Netherlands., R&D, NanoCell Therapeutics BV, Utrecht, Utrecht, Netherlands jlubelski@nanocelltx.com.",jlubelski@nanocelltx.com.
40652522,"Localized Delivery of the mRNAs Encoding CD47 Inhibitor and Interleukins 12, 15, and 21 Elicits Robust Antitumor Immunity.",2025-Jul-13,Xuanrui Zhong,"Shenzhen Maternity & Child Healthcare Hospital, Shenzhen, 518017, China.",
40650023,Clinical and Transcriptomic Characterization of Metastatic Hormone-Sensitive Prostate Cancer Patients with Low PTEN Expression.,2025-Jun-28,"Mariana Altamirano, Albert Font, Alejo Rodriguez-Vida, Miguel Ángel Climent, Sara Cros, Mariona Figols, Núria Sala-González, Vicenç Ruiz de Porras, Juan Carlos Pardo","Medical Oncology Department, Hospital Clínic, 08036 Barcelona, Spain., Medical Oncology Department, Institut Català d'Oncologia, Hospital Germans Trias i Pujol, 08916 Badalona, Spain., Medical Oncology Department, Hospital del Mar, 08003 Barcelona, Spain., Medical Oncology Service, Instituto Valenciano de Oncología (IVO), 46009 Valencia, Spain., Medical Oncology Department, Hospital General de Granollers, 08402 Barcelona, Spain., Medical Oncology Department, Fundació Althaia, Xarxa Assistencial Universitària de Manresa, 08242 Manresa, Spain., Department of Medical Oncology, Institut Català d'Oncologia, 17007 Girona, Spain., Badalona Applied Research Group in Oncology (B-ARGO), Institut Català d'Oncologia, 08916 Germans Trias i Pujol Badalona, Spain., Medical Oncology Department, Institut Català d'Oncologia, Hospital Germans Trias i Pujol, 08916 Badalona, Spain.",
40643795,Generation of NOD SCID mice with near-complete deletions of Il2rg and Prkdc for human cancer and HSC engraftment.,2025-Jul-11,"Tae Wook Nam, Mi Yeon Park, Sun Ha Park, Sung Joo Kim","GEMCRO, Inc., Seoul, 03722, Republic of Korea., GEMCRO, Inc., Seoul, 03722, Republic of Korea., GEMCRO, Inc., Seoul, 03722, Republic of Korea., Jeju Halla Hospital, Jeju-si, Jeju-do, 63127, Republic of Korea.",choi79@skku.edu.
40643531,Ciprofloxacin Exerts Anti-Tumor Effects In Vivo Through cGAS-STING Activation and Modulates Tumor Microenvironment.,2025-Jul-02,"Chih-Wen Chi, Cheng-Ta Lai, Shu-Hua Wu, Hui-Ru Shieh, Yu-Jen Chen","Department of Medical Research, MacKay Memorial Hospital, New Taipei City 251020, Taiwan., Division of Colon and Rectal Surgery, Department of Surgery, MacKay Memorial Hospital, Taipei 104217, Taiwan., Department of Medical Research, MacKay Memorial Hospital, New Taipei City 251020, Taiwan., Department of Medical Research, MacKay Memorial Hospital, New Taipei City 251020, Taiwan., Department of Medical Research, MacKay Memorial Hospital, New Taipei City 251020, Taiwan.",
40643466,Novel In Vitro Selection of ,2025-Jun-20,Swapnil Sinha,"IIT Guwahati TIDF BioNest, Guwahati 70005, India.",
40642068,The influence of ,2025,"Valli De Re, Mariateresa Casarotto, Giulia Brisotto, Stefania Zanussi, Mariangela De Zorzi, Ombretta Repetto, Elena Muraro, Paola Spessotto, Paolo Baldo, Agostino Steffan, Stefano Realdon, Renato Cannizzaro","Immunopathology and Cancer Biomarkers Unit, Centro di Riferimento Oncologico di Aviano (CRO), IRCCS, Aviano, Italy., Immunopathology and Cancer Biomarkers Unit, Centro di Riferimento Oncologico di Aviano (CRO), IRCCS, Aviano, Italy., Immunopathology and Cancer Biomarkers Unit, Centro di Riferimento Oncologico di Aviano (CRO), IRCCS, Aviano, Italy., Immunopathology and Cancer Biomarkers Unit, Centro di Riferimento Oncologico di Aviano (CRO), IRCCS, Aviano, Italy., Immunopathology and Cancer Biomarkers Unit, Centro di Riferimento Oncologico di Aviano (CRO), IRCCS, Aviano, Italy., Immunopathology and Cancer Biomarkers Unit, Centro di Riferimento Oncologico di Aviano (CRO), IRCCS, Aviano, Italy., Immunopathology and Cancer Biomarkers Unit, Centro di Riferimento Oncologico di Aviano (CRO), IRCCS, Aviano, Italy., Molecular Oncology Unit, Centro di Riferimento Oncologico Aviano, (CRO) IRCCS, Aviano, Italy., Pharmacy Unit, Centro di Riferimento Oncologico di Aviano (CRO), IRCCS, Aviano, Italy., Immunopathology and Cancer Biomarkers Unit, Centro di Riferimento Oncologico di Aviano (CRO), IRCCS, Aviano, Italy., Division of Oncological Gastroenterology, Centro di Riferimento Oncologico di Aviano (CRO) IRCCS, Aviano, Italy., Division of Oncological Gastroenterology, Centro di Riferimento Oncologico di Aviano (CRO) IRCCS, Aviano, Italy.",
40639775,Drug Repurposing Targeting miRNA-mRNA Networks to Mitigate Areca Nut-Induced Head and Neck Cancer.,2025-Jul-08,Yu-Chen Huang,"Department of Oral and Maxillofacial Surgery, Linkou Chang Gung Memorial Hospital, Taoyuan 333423, Taiwan.",annjoycheng@gap.cgu.edu.tw.
